placekey,safegraph_place_id,location_name,street_address,city,naics_code,latitude,longitude,postal_code
222-223@63f-s4m-j35,sg:bfc1cb33ccaa4c73aadf68f924e86274,Sportsman,2947 Little River Rd,Radford,722511,37.088453,-80.578383,24141
229-222@63f-ybq-nqz,sg:e20fdc69557242a284906a6defb737ec,Tina's Gourmet,428 N Main St,Blacksburg,445110,37.231986,-80.41605,24060
223-222@63f-w7p-xwk,sg:ffb825e8099c4e19ab9718e201346166,Sunset Deli Mart,10446 Roanoke Rd,Elliston,445120,37.233517,-80.19564799999999,24087
zzw-228@63r-syc-2hq,sg:8cd6b6b29a684fdc927f5464e851de3d,Breast Care Consultants,44055 Riverside Pkwy,Lansdowne,621111,39.074019,-77.477863,20176
zzz-222@63f-yj4-wx5,sg:55d67dc0eda64611bd9299db7ce7bbae,Lions Club Park,Dunlap Rd,Dublin,712190,37.102241,-80.67619300000001,24084
zzz-222@63r-stm-jgk,sg:4ab17d89de2340c2bf29fab9ff0f078e,Potomac Crossing Park,508 Shanks Evans Rd NE Leesburg Va 20176,Leesburg,712190,39.125173,-77.528432,20176
226-223@63f-wgj-cyv,sg:01e62a494b88412a8d22c4201a126bf2,Lucie Monroe's,1301 S Main St,Blacksburg,722511,37.217284,-80.40005,24060
222-222@63r-sy9-p5f,sg:33a55f33d72142a4b045d10ccd992a3b,Seldens Landing Elem,43345 Coton Commons Dr,Lansdowne,611110,39.083584,-77.501191,20176
zzw-222@63f-wgh-9cq,sg:0d57be80928943a2a48eaa0c89394d28,Zoës Kitchen,1560 S Main St,Blacksburg,722511,37.213378999999996,-80.400649,24060
223-222@63f-yb4-zs5,sg:661e595dcac4404db117a7d8e3c31d19,Roanoke Foot & Ankle At Radford,116 3rd Ave,Radford,621111,37.140107,-80.55830999999999,24141
zzy-222@63r-syb-zzz,sg:36d8a5c97f3c43d483a98067dca74e75,Claudio Iwamoto DDS MS,19490 Sandridge Way Ste 270,Lansdowne,621210,39.076862,-77.482037,20176
225-222@63f-rw3-54v,sg:dac8bfe8245b4fdb9918d475e0b46ce3,Myers Stephen L Dr,103 College St Ste A,Christiansburg,621210,37.129222999999996,-80.41188299999999,24073
222-222@63f-ybf-m6k,sg:f946d03be95144ffb067e9ed1a9dcb6f,New River Dermatology,2617 Sheffield Dr,Blacksburg,621111,37.219012,-80.451688,24060
zzz-222@63f-ybq-bkz,sg:90ab25ba88414679af367583c1738bea,Spring Lot,401 Clay St SE,Blacksburg,712190,37.229539,-80.40852199999999,24060
zzw-222@63f-s3r-35z,sg:e1f9d69b192343c8a1b04b0a9c535d88,Carilion Clinic Orthopaedic Surgery New River Valley,2900 Lamb Cir Ste L 760,Christiansburg,621111,37.08965,-80.50500600000001,24073
zzw-229@63r-ss3-q4v,sg:66ee7caf99f24a658d0a00b9a2317ed6,Leesburg Foot & Ankle Center,211 Gibson St NW Ste 101,Leesburg,621111,39.119014,-77.567748,20176
222-227@63f-s3r-5mk,sg:57c655da8d784c30b5bf3b22c145c2ee,Obstetrics & Gynecology of Radford,2875 Barn Rd,Christiansburg,621111,37.091794,-80.505791,24073
222-222@63f-rt7-kxq,sg:21ce701ed60e4815afa7c93bc2940e45,Auburn High,1650 Auburn School Dr,Riner,611110,37.059646,-80.443598,24149
227-222@63r-ss3-snq,sg:28693622d3ce4f71a529f6d21278f991,Inova,211 Gibson St NW Ste 220,Leesburg,621111,39.119942,-77.56884699999999,20176
223-222@63f-ybq-nqz,sg:472af76c97ab483786ec2e1c5bef988b,Hokie House,322 N Main St,Blacksburg,722511,37.231367999999996,-80.415438,24060
22b-222@63f-yc3-92k,sg:23f97c8f83834306ae0be4eea8d074cc,Young Robert J Gyn,3698 S Main St,Blacksburg,621111,37.187203000000004,-80.408392,24060
zzw-234@63f-s3r-2tv,sg:a4e0b3a8ca734f748acc24b7c10bfe8b,Jacob R Sakiey PA,2900 Lamb Cir Ste L 760,Christiansburg,621111,37.089221,-80.505134,24073
222-222@63f-yc2-bx5,sg:9bd8252159174183978fe2c73afd2759,Texas Roadhouse,100 Bradley Dr,Christiansburg,722511,37.162563,-80.426346,24073
224-223@63r-ss2-bx5,sg:a2633b1ff9b849c28f7da6127226252c,Leesburg Bright Dental,552 Fort Evans Rd Ste 100,Leesburg,621210,39.104959,-77.526517,20176
22b-222@63f-yc3-m8v,sg:e8fea519db16412ca88a3fc67e450cb9,Encore Ob Gyn,825 Davis St Ste C,Merrimac,621111,37.18756,-80.41481999999999,24060
223-222@63r-ss2-8y9,sg:e63fbd5cb12046da8c2d3a75ec493550,Moe's Southwest Grill,667 Potomac Station Dr NE,Leesburg,722511,39.099369,-77.526089,20176
22d-224@63f-ybp-kxq,sg:fa896cc549c84f1aa499b185595c9f5c,Centro Taco Bar,201 N Main St,Blacksburg,722511,37.230046,-80.414878,24060
zzw-222@63f-tx5-yn5,sg:1f14f29a183f43aa9f9aa8cd7523d840,FATZ,4586 Alexander Farm Rd,Dublin,722511,37.080895,-80.692412,24084
22f-222@63r-syc-2hq,sg:11ea40f4d918496a9b2caabe671d9f07,Loudoun Gastroenterology,44055 Riverside Pkwy Ste 220,Lansdowne,621111,39.074001,-77.477829,20176
222-226@63f-rw4-4qf,sg:9ecddd986f7848d79a508a82b6ff0883,Carilion Clinic Gastroenterology Akers Farm NRV,110 Akers Farm Rd,Christiansburg,621111,37.14703,-80.413814,24073
zzw-22d@63f-s3r-2tv,sg:28ed1cf5522c41c7a1d9f006e10ec9cc,Carilion Clinic Internal Medicine Radford,2900 Lamb Cir Ste 250,Christiansburg,621111,37.088838,-80.5051,24073
226-222@63r-syc-2hq,sg:344406d191204b9990339956aecec544,Inova,44055 Riverside Pkwy Ste 118,Lansdowne,621111,39.073999,-77.47783299999999,20176
222-222@63f-yc2-7qz,sg:ae445ee1ba014cbfb028c793ec36346b,Spencer Dental,135 Conston Ave,Christiansburg,621210,37.1573,-80.421897,24073
222-222@63f-y9z-pn5,sg:40c36df2bdfe473bb712351280e328f0,Highlander Pizza,700 E Main St,Radford,722511,37.138042999999996,-80.545624,24141
229-222@63f-ybq-p9z,sg:db50fd510a71408f886a46f3d6119269,India Garden Restaurant,210 Prices Fork Rd Ste D,Blacksburg,722511,37.234853,-80.421842,24060
222-225@63r-syb-zzz,sg:dd7ecf713a7646539641528bee446f2b,Kimberly Johnson AUD,19490 Sandridge Way,Lansdowne,621111,39.076846,-77.481833,20176
222-223@63r-srx-sh5,sg:a84f25eaa63340e4b01ece672df85e59,Leesburg Elem,323 Plaza St NE,Leesburg,611110,39.120574,-77.549347,20176
223-222@63f-rvy-47q,sg:5b13e76d2e074c32aa49a3a38aba6131,Due South BBQ,1465 Roanoke St,Christiansburg,722511,37.132179,-80.380363,24073
zzw-222@63r-sy9-8n5,sg:d85829d48c4141ada8ab36598397da51,Vandana Sood DMD Llc,19420 Golf Vista Plz Ste 360,Lansdowne,621210,39.077903000000006,-77.483378,20176
224-222@63f-yc2-7qz,sg:ff29878cc2b739c8872193d3190724e9,Affordable Dentures,175 Conston Ave,Christiansburg,621210,37.15724,-80.422115,24073
222-222@63r-syc-pgk,sg:356401ff04a84629b584efa7304dbaae,Melissa Hebert FNP BC,44084 Riverside Pkwy,Lansdowne,621111,39.076396,-77.47372,20176
222-222@63r-syb-zzz,sg:43d9cbc05a3b4e20a910083ed3ffad2b,Loudoun Medical Care and Wellness,19490 Sandridge Way,Lansdowne,621111,39.076832,-77.481832,20176
zzw-225@63r-ss3-q4v,sg:d61a085387ac43fcafeb9be5716591b0,Barry P London DPM,211 Gibson St NW,Leesburg,621111,39.119021000000004,-77.567766,20176
227-222@63r-syc-psq,sg:3c8ede17cb3948ffaecbe3656dd9bafa,Loudoun Ophthalmology Associates,44125 Woodridge Pkwy Ste 180,Lansdowne,621111,39.0774,-77.472001,20176
zzy-222@63f-rt7-pjv,sg:09e5b9b38a6c48ea9848e75599334ff2,Auburn Middle,4069 Riner Rd,Riner,611110,37.062455,-80.442337,24149
224-222@63f-ybv-ju5,sg:b0dd560ea15c4de9a975939ab330ea32,Kohl's,782 New River Rd Ste 300,Christiansburg,452210,37.166864000000004,-80.428372,24073
226-222@63f-s4m-52k,sg:2e978680d9954ce2a14429dac06a5957,Deli Mart,2307 W Main St,Radford,445120,37.111596,-80.590125,24141
zzz-222@63f-ybp-mtv,sg:34995501bc40494d8112f28638e99406,MarciaS Park,200 Clay St SW,Blacksburg,712190,37.226799,-80.412879,24060
22r-224@63r-ss3-snq,sg:784682a9f1bd4b399727647a5d286cc4,Catoctin Foot and Ankle Center,224D Cornwall St NW,Leesburg,621111,39.119414,-77.569036,20176
zzw-223@63r-syc-2hq,sg:80637b353d464ca1b473d03244dd880d,Radiology Imaging,44055 Riverside Pkwy,Lansdowne,621111,39.073983,-77.477747,20176
223-222@63f-ybv-nwk,sg:20ccd742223640ac89ba13657ba8705d,Ross Stores,125 Shoppers Way,Christiansburg,452210,37.167603,-80.424676,24073
22r-229@63r-ss3-snq,sg:38a2d1e0e9b743b69933fe7866ae4f7f,Anne Lowery PTA,224D Cornwall St NW,Leesburg,621340,39.119384000000004,-77.569011,20176
224-223@63r-srr-nwk,sg:cb372ba1542648119a8d3573ea19868c,Emergency Dentist Leesburg,19 Catoctin Cir NE,Leesburg,621210,39.111246,-77.554416,20176
22d-222@63f-yc4-66k,sg:3622cbb8b7ff4780b0c0e59d4655305b,EHE Clinic & Wellness,1800 Kraft Dr Ste 208,Blacksburg,621111,37.202764,-80.410628,24060
226-222@63r-syb-mrk,sg:e4cf311fca554f289ab814d75617232e,Reston Pediatric Associates,44160 Scholar Plz Ste 450,Lansdowne,621111,39.069340999999994,-77.47353000000001,20176
22c-222@63f-ybq-grk,sg:37da431082114ab58ddaa4d3b063a961,Raymond Munz DDS,611 S Main St Ste A,Blacksburg,621210,37.225155,-80.40901099999999,24060
222-222@63r-syb-pjv,sg:79bd000144ff4fa5b3e1f99f047b7a74,Kathleen Pelkofski ANP BC,44055 Riverside Pkwy,Lansdowne,621111,39.074323,-77.476906,20176
22c-222@63f-ybp-jgk,sg:005837d9f50f45079db676fec7d1039c,Ankrum Michael J Dr,211 Clay St SW,Blacksburg,621210,37.22579,-80.413604,24060
zzy-222@63r-syc-2hq,sg:bd537848cce7430e94c602c527e83fb3,Inova,44045 Riverside Pkwy Emergency Room,Lansdowne,621111,39.074042,-77.477513,20176
22b-222@63r-srz-rc5,sg:174b7f7c03a64d4da887a319f88221fe,Leesburg Premier Dental,161 Fort Evans Rd NE Ste 300,Leesburg,621210,39.108745,-77.541503,20176
223-222@63f-yc2-cbk,sg:5ab177aba30641bab383ddb04bdf4f36,Asian Cafe,200 Marshall Dr,Christiansburg,722511,37.162251,-80.425119,24073
zzy-222@63f-ybp-ysq,sg:3795b30e42164269bd7026c2df7fa621,Turner Place,Lavery Hall,Blacksburg,722511,37.231003,-80.422739,24060
22d-222@63r-sry-s89,sg:86911794840946279a34af93dec5baff,Taipei Cafe,946 Edwards Ferry Rd NE,Leesburg,722511,39.115758,-77.540889,20176
zzw-223@63r-sry-zfz,sg:b3b102fed0cf44879d4317f4b34669f5,Frances Hazel Reid Elem,800 N King St,Leesburg,611110,39.131099,-77.549841,20176
225-224@63f-rw4-4jv,sg:68dbe64e9e084fda9833e93e6a25e090,Meghan A Cooper DO,120 Akers Farm Rd,Christiansburg,621111,37.146997999999996,-80.41345600000001,24073
zzw-22r@63f-s3r-2tv,sg:3f516abcf6f34c60b5f26eac4163bb9f,Heather L Fuentes D O,2900 Lamb Cir Ste 202,Christiansburg,621111,37.089283,-80.505637,24073
222-222@63f-s3q-v4v,sg:80f950cdf0b74fd6bf86517fae3fbfe5,Little River Grill,2395 Tyler Rd,Christiansburg,722511,37.099498,-80.512421,24073
226-222@63r-srr-p35,sg:bf2c8c2cad8c400196ca17f7625c9054,Talib Ali DDS Avatar Dental Care,545 E Market St Ste G,Leesburg,621210,39.107797,-77.55187,20176
zzw-22f@63r-syc-qj9,sg:280010e2c5014b889110adb07adee225,Lindsay Smith FNP BC,19465 Deerfield Ave,Lansdowne,621111,39.078213,-77.47850799999999,20176
zzy-223@63f-s3r-2tv,sg:311a0067cdb743ceb2c17db29c889737,Kenneth H Rogotzke DO,2900 Lamb Cir Ste 300,Christiansburg,621111,37.089282,-80.50564399999999,24073
zzw-223@63f-ybf-wtv,sg:58929206dc0e4c0d9b1921e8709ff741,PIVOT Physical Therapy,872 Prices Fork Rd,Blacksburg,621340,37.231913,-80.431232,24060
22b-223@63f-wgh-gkz,sg:d31d806194bc47cc9a0489aa402bff26,CORA Physical Therapy Blacksburg,1997 S Main St Ste 601,Blacksburg,621340,37.206293,-80.398051,24060
222-224@63f-ybn-87q,sg:84cbb71152c1497b9be56b069735fc30,Kroger,903 University City Blvd,Blacksburg,445110,37.235548,-80.434986,24060
223-223@63f-wgj-8y9,sg:dab117983cee4eedaf9ad95b58077fec,Ninja Cafe,1200 S Main St,Blacksburg,722511,37.219044,-80.40320799999999,24060
222-222@63f-s4t-t7q,sg:261ec8f9326f450dbeee932cbc0b2f9f,Hoskins R Graham DMD,106 Inglewood Dr,Radford,621210,37.108385,-80.572978,24141
224-222@63f-yc3-m8v,sg:172b76bef22f4229ab2a20d9b66c199d,Neurological Care Center,825 Davis St Ste D,Merrimac,621111,37.187521999999994,-80.41480200000001,24060
22c-222@63f-yc3-qxq,sg:5c981354e4764b4cb3918b756c205457,New River Vly Orthopaedics & Sports Medicine,120 Professional Park Dr SE Ste 7,Blacksburg,621111,37.196649,-80.40125,24060
228-222@63f-yry-6tv,sg:d500b94e286d43e7bb9ec5d169753934,Roma Pizza,1407 N Main St,Blacksburg,722511,37.247534,-80.415295,24060
zzw-226@63r-srr-nwk,sg:2b12c241bd94430ab78509382bf93841,Inova,51 Catoctin Cir NE,Leesburg,621111,39.112024,-77.553917,20176
22z-222@63r-srr-p7q,sg:ed6de5fc7805488cba1699ead857b50b,Best Thai Kitchen,525 E Market St Ste G,Leesburg,722511,39.108162,-77.552775,20176
22c-222@63r-srz-rc5,sg:35def18f9c24463285c13478f4186fa3,Children and Adolescent Pediatric,161 Fort Evans Rd NE Ste 330,Leesburg,621111,39.108419,-77.541389,20176
zzw-22p@63f-s3r-2tv,sg:7c62a1bcddb14dd09e254b334f35f2c7,Carilion Clinic Otolaryngology New River Valley,2900 Lamb Cir Ste 300,Christiansburg,621111,37.088857,-80.505239,24073
zzw-222@63f-yc2-zxq,sg:e8fb89a8193d4434a40886d6b3d45cae,Women's Health Center of Virginia,3698 S Main St,Blacksburg,621111,37.187816,-80.411085,24060
22c-222@63f-ybq-mp9,sg:020017ec0cb046bb9a234e0956377e38,Italiano's,610 N Main St,Blacksburg,722511,37.234136,-80.418704,24060
226-222@63f-yc3-m8v,sg:e9e8a9570f1a49aeb680770a12d6cd46,Lewis Gale Physicians,825 Davis St Ste A,Merrimac,621111,37.187678999999996,-80.414819,24060
222-222@63r-stc-cdv,sg:1da924913e2743be803c5fa9bb029200,Highway Mobile Home Community,14489 James Monroe Hwy,Leesburg,712190,39.214583000000005,-77.53585,20176
222-222@63f-ybq-4y9,sg:295443113f8c4a0189f49b84fd5f0c42,Hahn Horticulture Garden,200 Garden Ln,Blacksburg,712130,37.219196000000004,-80.424195,24061
zzy-222@63r-sy9-zfz,sg:deb982cc7714477ca4a042a4b4c87210,Coton and Rye,44050 Woodridge Pkwy,Lansdowne,722511,39.083535999999995,-77.476074,20176
222-225@63r-syc-qzz,sg:e2239effd88d426a91cf56e3abec0cf7,Inova Loudoun Outpatient Specialty Rehabilitation Center,44035 Riverside Pkwy Ste 500C,Lansdowne,621340,39.075245,-77.478574,20176
22d-224@63r-syc-2hq,sg:589c29f56acf470b9d65fc86b7f1451c,Inova,44045 Riverside Pkwy Ste 108,Lansdowne,621111,39.074045,-77.477515,20176
zzy-225@63f-tx4-xqz,sg:6f8d2cef6fce4472911012a41bf03975,Carilion Clinic Family Medicine Dublin,118 Broad St,Dublin,621111,37.103702,-80.688501,24084
zzw-226@63r-syc-2hq,sg:48341747d01a4feaa5bfa10339ce1d30,Catherine Williams FNP BC,44055 Riverside Pkwy,Lansdowne,621111,39.074003000000005,-77.477861,20176
zzw-222@63f-s4s-t5f,sg:7db51fbd9e3d416ca2d5467a2b8daeb8,Carilion Clinic Sleep Center,701 Randolph St Ste 220,Radford,621111,37.129346000000005,-80.568407,24141
zzw-22n@63r-srz-dy9,sg:3a906d8c9a754fd3a8a564a696dc5729,Halal Express,241 Fort Evans Rd NE,Leesburg,445110,39.106897,-77.538484,20176
223-222@63f-yc3-y5f,sg:f8290e79143a4669858547c2aa9d0b39,St John Neumann Academy,2470 Research Center Dr,Blacksburg,611110,37.188032,-80.402784,24060
223-223@63f-ybn-kxq,sg:54fa55474fb84e5ebde487e46d18bc65,Deli Mart,809 Glade Rd,Blacksburg,445120,37.234623,-80.436876,24060
zzz-222@63f-rvr-rkz,sg:80c78c87632e46c4ba1b353edc533d7b,Kiwanis Park,310 Kiwanis Ln SE,Christiansburg,712190,37.129493,-80.390074,24073
226-222@63r-ss2-d9z,sg:cde1949f4eeb42059473c582ac621c73,PIVOT Physical Therapy,210B Fort Evans Rd NE,Leesburg,621340,39.110695,-77.536755,20176
227-225@63f-ybq-p35,sg:20795ba96d0c4659aca5754e69c5f929,Buffalo Wild Wings,460 Turner St NW,Blacksburg,722511,37.233503000000006,-80.422892,24060
224-222@63r-ss2-3qz,sg:c291147c558d4c1ca9a04b8e092c47ad,Buffalo Wild Wings,524 Fort Evans Rd,Leesburg,722511,39.106947999999996,-77.52913000000001,20176
222-222@63f-tx8-59f,sg:73cda767736e462ca28a84cc14d4b209,Pulaski Governor's Stem Academy,5414 Cougar Trail Rd,Dublin,611110,37.094469000000004,-80.718637,24084
227-222@63r-syc-nyv,sg:a121f77cd85b40a59b33b9e6b2ca93a3,Allergy & Asthma Affiliates,19415 Deerfield Ave Ste 210,Lansdowne,621111,39.07942,-77.47752,20176
zzw-222@63r-ss2-47q,sg:518f8359b73b451ba4c8d738a0c6708c,Sakura Japanese Steak Searood & Sushi,516 Fort Evans Rd,Leesburg,722511,39.10773,-77.52922,20176
229-223@63f-yb4-zs5,sg:c101ba78a64e42eab114447ab44b79a5,The Tie Dyed Pig,103 3rd Ave,Radford,722511,37.140541,-80.557958,24141
zzy-222@63f-s3s-swk,sg:c8cdf0ef724045a49f85c3b3017e0113,Sabrina M Johnson NP,2900 Lamb Cir,Christiansburg,621111,37.088535,-80.50551899999999,24073
zzy-226@63f-s3s-swk,sg:ca3cd7e8301f45c898f577cc99e4cecd,Benjamin Rentfrow DO,2900 Lamb Cir Ste 380,Christiansburg,621111,37.088561999999996,-80.505537,24073
222-222@63f-ybv-85f,sg:44f6fe23fa6a47b2a708c269be2feb72,O'Charley's,150 Laurel St,Christiansburg,722511,37.162307,-80.419816,24073
zzz-222@63r-syn-52k,sg:5218dedbd66a4752973f8f15a3067b32,Red Rock Wilderness Overlook Regional Park,43098 Edwards Ferry Rd Leesburg Va 20176,Leesburg,712190,39.112658,-77.509473,20176
zzz-222@63f-y98-v4v,sg:f9ae1fa01fb14f51a3b7e2bfff4a308d,Plum Creek Park,1515 Hornsby Rd,Plum Creek,712190,37.128138,-80.50275699999999,24073
zzw-224@63r-ss3-qs5,sg:462c122edb084f26b2af16745d2afe3d,Cocina on Market,7 W Market St,Leesburg,722511,39.115502,-77.565069,20176
zzw-222@63f-ybf-2c5,sg:64560e53560d45d4a32052e79651d04f,Carilion Clinic Neurosurgery New River Valley,901 Plantation Rd Ste 2,Blacksburg,621111,37.224848,-80.444343,24060
zzw-223@63r-syc-nyv,sg:f64e28de522a4c0aa3a5fca9c508fc4e,Loudoun Dermatology Associates,19415 Deerfield Ave Ste 314,Lansdowne,621111,39.079390999999994,-77.477502,20176
zzw-222@63f-wgz-89z,sg:feec96ec84754c71a5c745768b78b346,Ruby Tuesday,2380 Roanoke St,Christiansburg,722511,37.136934000000004,-80.361695,24073
224-222@63f-yb4-jgk,sg:8ba111fa1b1241e8a2bae89314bd33f5,Fu Lin,7440 Lee Hwy,Fairlawn,722511,37.142718,-80.581641,24141
zzw-228@63f-s3r-2tv,sg:9092fca774174581830621a100e7a7c9,Robert B Stephenson M D,2900 Lamb Cir Ste L 760,Christiansburg,621111,37.088865999999996,-80.505165,24073
zzw-222@63r-srz-q4v,sg:a03b9a05d9814b5a921c246a0dda582e,Del Rio Restaurant,701 E Market St,Leesburg,722511,39.106694,-77.549113,20176
226-222@63f-ybp-kzz,sg:02e01613058144ddbac27a8a5a743529,7-Eleven,100 Draper Rd SW,Blacksburg,445120,37.228660999999995,-80.414307,24060
223-223@63f-rsc-mhq,sg:1d4af9bc738649cbb7587b1c6977eec5,Pilot Mountain Grocery,4553 Pilot Rd,Pilot,445120,37.059061,-80.374228,24138
zzw-222@63r-sy9-8jv,sg:09fd88d83f6d4623878155f48802444f,Gastroenterolgoy & Hepatology Center,19420 Golf Vista Plz,Lansdowne,621111,39.078221,-77.483469,20176
zzw-223@63f-rvs-5mk,sg:1e4fb918bc764cfdb6f213ca83b54af1,Rooker Gary M DO,102 Miller St SE,Christiansburg,621111,37.129535,-80.39846899999999,24073
zzw-222@63f-ybv-4n5,sg:980eb940e0e44c698645b175280869cb,Xtreme Springz Trampoline Park,200 Midway Plaza Dr NW,Christiansburg,712190,37.175445,-80.422797,24073
222-222@63f-ybq-grk,sg:fc76cdf372d14a74a1a96ca3fdbbcf48,Blacksburg Smiles,614 S Main St,Blacksburg,621210,37.224856,-80.40949499999999,24060
222-225@63r-syc-pgk,sg:a72904e442924cfcb312047e59791685,Debra Ceschin FNP BC,44084 Riverside Pkwy,Lansdowne,621111,39.076512,-77.473857,20176
zzy-226@63f-s3r-2tv,sg:4886cbfe84044d5b9793bb49dabca5f8,Carilion Clinic Family Medicine Christiansburg,2900 Lamb Cir Ste 201,Christiansburg,621111,37.089246,-80.505637,24073
zzy-224@63f-rvs-3t9,sg:fc7c0f5cf7034ef387da5130297750c4,Joyce A Cox NP,205 Roanoke St,Christiansburg,621111,37.129886,-80.403524,24073
22g-222@63r-syc-2hq,sg:278a261b7e344f33adba1f6d15bf09f8,Mancini Korkowski,44055 Riverside Pkwy Ste 216,Lansdowne,621111,39.074028000000006,-77.477852,20176
223-222@63f-rvy-gc5,sg:d0c82ab075ac4e5cb5a69e7ca20686c5,Bucko's Pantry Amoco,820 Roanoke St,Christiansburg,445110,37.132290000000005,-80.39208199999999,24073
zzw-222@63f-yc3-99f,sg:f4b5f4872a88413d877e8c09ae57a897,Ankrum Matthew T Ms DDS,3708 S Main St,Blacksburg,621210,37.186426000000004,-80.409359,24060
